id,figure_number,title,clean_caption,normalized_summary,figure_type,asrs_type,container_type,max_depth_ft,max_depth_m,max_spacing_ft,max_spacing_m,ceiling_height_ft,aisle_width_ft,related_tables,applicable_commodities,system_requirements,special_conditions,machine_readable_claims,callouts_labels,axis_titles,axis_units,embedded_tables,footnotes,page_number,section_reference,embedding,search_keywords,created_at,updated_at
3d2ce752-d81c-4fd1-a858-4dc1e4b2aa97,11,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 9 ft (2.7 m) with 8 ft Spacing","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Do Not Exceed 9 ft (2.7 m) with 8 ft Spacing","For shuttle ASRS with rack depth ≤9 ft and maximum spacing ≤8 ft, use this wide-spaced deep rack configuration with ceiling height considerations",Sprinkler Layout,Shuttle,Closed-Top,9.0,2.7,8.0,2.4,30.0,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""max_spacing"": 8, ""max_rack_depth"": 9, ""sprinkler_count"": 4, ""ceiling_height_limit"": 30}","[""Max 9 ft"",""Max 8 ft"",""IRAS"",""Ceiling Height Considerations""]",,,,"[""Maximum spacing for deep rack configuration with ceiling height limits""]",37,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""9 ft depth"",""8 ft spacing"",""closed-top"",""Table 14"",""deep rack"",""ceiling height""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
27916ec6-bd79-4bd2-9dec-46f8d8d33244,12,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Vertical Barriers","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Vertical Barriers","For shuttle ASRS with rack depths >6 ft without adequate transverse flue spaces, vertical barriers are required with specific sprinkler arrangement",Sprinkler Layout,Shuttle,Closed-Top,,1.8,,,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""min_rack_depth"": 6, ""barrier_spacing"": ""per code"", ""sprinkler_count"": 8, ""requires_vertical_barriers"": true}","[""Over 6 ft"",""IRAS"",""Vertical Barriers"",""Barrier Spacing""]",,,,"[""Vertical barriers required when adequate transverse flue spaces not provided""]",38,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""over 6 ft depth"",""closed-top"",""Table 14"",""vertical barriers""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
a8a78bb6-6de0-46e3-9e08-884a0f1db6e1,13,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Adequate Flue Spaces","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Shuttle ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Adequate Flue Spaces","For shuttle ASRS with rack depths >6 ft and adequate transverse flue spaces, use this arrangement without vertical barriers",Sprinkler Layout,Shuttle,Closed-Top,,1.8,,,,,"[""14""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""no_barriers"": true, ""min_rack_depth"": 6, ""sprinkler_count"": 6, ""requires_flue_spaces"": true}","[""Over 6 ft"",""IRAS"",""Transverse Flue Spaces"",""No Barriers Required""]",,,,"[""Adequate flue spaces eliminate need for vertical barriers""]",39,Section 2.2.3.2.1,,"[""shuttle"",""IRAS"",""horizontal"",""over 6 ft depth"",""closed-top"",""Table 14"",""flue spaces"",""no barriers""]",2025-09-02 19:16:34.530134,2025-09-02 19:16:34.530134
4a6cbb60-f110-430f-8380-fb4ca3c21176,26,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and the Maximum Horizontal Spacing is 2-1/2 ft (0.75 m) per Table 31","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and the Maximum Horizontal Spacing is 2-1/2 ft (0.75 m) per Table 31","For mini-load ASRS with rack depth ≤3 ft and horizontal sprinkler spacing ≤2.5 ft, use this 8-sprinkler layout with numbered positions for hydraulic design",Sprinkler Layout,Mini-Load,Closed-Top,3.0,0.9,2.5,0.75,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1-8"", ""max_spacing"": 2.5, ""max_rack_depth"": 3, ""sprinkler_count"": 8, ""max_vertical_offset"": 18}","[""Max 3 ft"",""Max 2-1/2 ft"",""IRAS"",""Max 18 in."",""Sprinkler Numbers 1-8""]",,,,"[""IRAS do not need to align with transverse flue spaces between rack uprights""]",66,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""3 ft depth"",""2.5 ft spacing"",""closed-top"",""Table 31""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
b40dd821-3430-41db-aa4e-43d263f8ac73,27,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and Maximum Horizontal Spacing is 5 ft (1.5 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and Maximum Horizontal Spacing is 5 ft (1.5 m)","For mini-load ASRS with rack depth ≤3 ft and horizontal sprinkler spacing ≤5 ft, use this wider-spaced 8-sprinkler arrangement",Sprinkler Layout,Mini-Load,Closed-Top,3.0,0.9,5.0,1.5,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1-8"", ""max_spacing"": 5, ""max_rack_depth"": 3, ""sprinkler_count"": 8, ""max_vertical_offset"": 18}","[""Max 3 ft"",""Max 5 ft"",""IRAS"",""Max 18 in."",""Sprinkler Numbers 1-8""]",,,,"[""Wider spacing allowed when adequate transverse flue spaces are provided""]",67,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""3 ft depth"",""5 ft spacing"",""closed-top"",""Table 31""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
6cf0d8ad-c368-4985-b9c5-7fb82267f755,28,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and Maximum Horizontal Spacing is 2-1/2 ft (0.75 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and Maximum Horizontal Spacing is 2-1/2 ft (0.75 m)","For mini-load ASRS with rack depth ≤6 ft and horizontal sprinkler spacing ≤2.5 ft, use sprinklers numbered 1,3,5,7 for deeper rack configuration",Sprinkler Layout,Mini-Load,Closed-Top,6.0,1.8,2.5,0.75,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""numbering"": ""1,3,5,7"", ""max_spacing"": 2.5, ""max_rack_depth"": 6, ""sprinkler_count"": 4, ""max_vertical_offset"": 18}","[""Max 6 ft"",""Max 2-1/2 ft"",""IRAS"",""Max 18 in."",""Sprinkler Numbers 1,3,5,7""]",,,,"[""Deeper racks require adjusted sprinkler selection""]",67,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""6 ft depth"",""2.5 ft spacing"",""closed-top"",""Table 31""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
4c1ac88c-307d-4652-9e94-72e8ab1e4c95,29,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and Maximum Horizontal Spacing is 5 ft (1.5 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 6 ft (1.8 m) and Maximum Horizontal Spacing is 5 ft (1.5 m)","For mini-load ASRS with rack depth ≤6 ft and wider horizontal sprinkler spacing ≤5 ft, use this arrangement with adequate transverse flue spaces",Sprinkler Layout,Mini-Load,Closed-Top,6.0,1.8,5.0,1.5,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""max_spacing"": 5, ""max_rack_depth"": 6, ""sprinkler_count"": 4, ""requires_flue_spaces"": true}","[""Max 6 ft"",""Max 5 ft"",""IRAS"",""Transverse Flue Spaces""]",,,,"[""Wider spacing for 6 ft racks requires adequate flue spaces""]",68,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""6 ft depth"",""5 ft spacing"",""closed-top"",""Table 31"",""flue spaces""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
16c453c8-894a-44d5-b8b6-36dea3d87ce5,30,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 14 ft (4.3 m)","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 14 ft (4.3 m)","For mini-load ASRS with very deep rack depth ≤14 ft, use this specialized arrangement for maximum depth configurations",Sprinkler Layout,Mini-Load,Closed-Top,14.0,4.3,2.5,0.75,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""max_spacing"": 2.5, ""max_rack_depth"": 14, ""sprinkler_count"": 6, ""deep_rack_special"": true}","[""Max 14 ft"",""Max 2-1/2 ft"",""IRAS"",""Deep Rack Special""]",,,,"[""Very deep rack configurations require specialized sprinkler arrangements""]",68,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""14 ft depth"",""2.5 ft spacing"",""closed-top"",""Table 31"",""very deep""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
0b8074d5-b0db-4b76-b6c4-b1258c353194,31,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 14 ft (4.3 m) with Wider Spacing","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 14 ft (4.3 m) with Wider Spacing","For mini-load ASRS with very deep rack depth ≤14 ft and wider spacing, use this arrangement with adequate transverse flue spaces",Sprinkler Layout,Mini-Load,Closed-Top,14.0,4.3,5.0,1.5,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""max_spacing"": 5, ""max_rack_depth"": 14, ""sprinkler_count"": 4, ""requires_flue_spaces"": true}","[""Max 14 ft"",""Max 5 ft"",""IRAS"",""Transverse Flue Spaces"",""Deep Rack""]",,,,"[""Very deep racks with wider spacing require adequate flue spaces""]",68,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""14 ft depth"",""5 ft spacing"",""closed-top"",""Table 31"",""very deep"",""flue spaces""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
c038becd-cdbc-4b0b-a3e0-58365ebf9e4c,32,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Vertical Barriers","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Vertical Barriers","For mini-load ASRS with rack depths >6 ft without adequate transverse flue spaces, vertical barriers are required",Sprinkler Layout,Mini-Load,Closed-Top,,1.8,,,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""min_rack_depth"": 6, ""barrier_spacing"": ""per code"", ""sprinkler_count"": 8, ""requires_vertical_barriers"": true}","[""Over 6 ft"",""IRAS"",""Vertical Barriers"",""Barrier Spacing""]",,,,"[""Vertical barriers required when adequate transverse flue spaces not provided""]",69,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""over 6 ft depth"",""closed-top"",""Table 31"",""vertical barriers""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
cdc17f2e-2721-44d4-bb0e-be1fd28fc62f,33,"Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Adequate Flue Spaces","Horizontal IRAS Arrangement for Closed-Top Combustible Containers, or Storage on Trays within a Mini-Load ASRS Where Rack Row Depths Exceed 6 ft (1.8 m) with Adequate Flue Spaces","For mini-load ASRS with rack depths >6 ft and adequate transverse flue spaces, use this arrangement without vertical barriers",Sprinkler Layout,Mini-Load,Closed-Top,,1.8,,,,,"[""31""]","[""Closed-Top Combustible"",""Storage Trays""]",,,"{""no_barriers"": true, ""min_rack_depth"": 6, ""sprinkler_count"": 6, ""requires_flue_spaces"": true}","[""Over 6 ft"",""IRAS"",""Transverse Flue Spaces"",""No Barriers Required""]",,,,"[""Adequate flue spaces eliminate need for vertical barriers in mini-load systems""]",69,Section 2.2.6.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""over 6 ft depth"",""closed-top"",""Table 31"",""flue spaces"",""no barriers""]",2025-09-02 19:17:04.053358,2025-09-02 19:17:04.053358
d1b41a33-c733-4399-aef0-88fe443ecd0b,34,Horizontal IRAS Arrangement for Open-Top Combustible Containers within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and the Maximum Horizontal Spacing is 2-1/2 ft (0.75 m) per Table 39,Horizontal IRAS Arrangement for Open-Top Combustible Containers within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and the Maximum Horizontal Spacing is 2-1/2 ft (0.75 m) per Table 39,"For mini-load ASRS with open-top containers, rack depth ≤3 ft, and horizontal sprinkler spacing ≤2.5 ft, use this 8-sprinkler layout",Sprinkler Layout,Mini-Load,Open-Top,3.0,0.9,2.5,0.75,,,"[""39""]","[""Open-Top Combustible""]",,,"{""numbering"": ""1-8"", ""max_spacing"": 2.5, ""container_type"": ""Open-Top"", ""max_rack_depth"": 3, ""sprinkler_count"": 8}","[""Max 3 ft"",""Max 2-1/2 ft"",""IRAS"",""Max 18 in."",""Open-Top Container"",""Sprinkler Numbers 1-8""]",,,,"[""Open-top containers require different protection considerations""]",78,Section 2.2.7.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""open-top"",""3 ft depth"",""2.5 ft spacing"",""Table 39""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
a3ca2d48-716a-4c64-8812-a9e8175222b0,35,Horizontal IRAS Arrangement for Open-Top Combustible Containers within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and the Maximum Horizontal Spacing is 2 ft (0.60 m) per Table 39,Horizontal IRAS Arrangement for Open-Top Combustible Containers within a Mini-Load ASRS Where Rack Row Depths Do Not Exceed 3 ft (0.9 m) and the Maximum Horizontal Spacing is 2 ft (0.60 m) per Table 39,"For mini-load ASRS with open-top containers, rack depth ≤3 ft, and tighter horizontal sprinkler spacing ≤2 ft, use this closer-spaced arrangement",Sprinkler Layout,Mini-Load,Open-Top,3.0,0.9,2.0,0.6,,,"[""39""]","[""Open-Top Combustible""]",,,"{""numbering"": ""1-8"", ""max_spacing"": 2, ""container_type"": ""Open-Top"", ""max_rack_depth"": 3, ""sprinkler_count"": 8}","[""Max 3 ft"",""Max 2 ft"",""IRAS"",""Max 18 in."",""Open-Top Container"",""Sprinkler Numbers 1-8""]",,,,"[""Tighter spacing required for certain open-top container configurations""]",78,Section 2.2.7.2.1,,"[""mini-load"",""IRAS"",""horizontal"",""open-top"",""3 ft depth"",""2 ft spacing"",""Table 39""]",2025-09-02 19:10:04.66349,2025-09-02 19:10:04.66349
